nome_esportivo;time;posicao;nivel_preco;preco_exato
Nena;União da Vila;goleiro;regular;
Paredão;União da Vila;goleiro;basico;
Duda;União da Vila;defensor;regular;
Tijolo;União da Vila;defensor;destaque;
Bia;União da Vila;meio-campista;destaque;
Régua;União da Vila;meio-campista;regular;
Formiga;União da Vila;meio-campista;basico;
Tatá;União da Vila;atacante;destaque;
Foguinho;União da Vila;atacante;regular;
Luvas;Estrela do Bairro;goleiro;destaque;
Gato;Estrela do Bairro;goleiro;basico;
Muralha;Estrela do Bairro;defensor;destaque;
Zeca;Estrela do Bairro;defensor;regular;
Maestro;Estrela do Bairro;meio-campista;destaque;
Pinga;Estrela do Bairro;meio-campista;regular;
Ceará;Estrela do Bairro;meio-campista;basico;
Balinha;Estrela do Bairro;atacante;destaque;
Chicão;Estrela do Bairro;atacante;basico;
Bombril;Grêmio da Rua 9;goleiro;regular;
Sereno;Grêmio da Rua 9;goleiro;basico;
Pedra;Grêmio da Rua 9;defensor;regular;
Xerife;Grêmio da Rua 9;defensor;destaque;
Vovô;Grêmio da Rua 9;meio-campista;regular;
Cebola;Grêmio da Rua 9;meio-campista;basico;
Serginho;Grêmio da Rua 9;meio-campista;regular;
Raio;Grêmio da Rua 9;atacante;destaque;
Bilu;Grêmio da Rua 9;atacante;regular;
Gordo;Bar do Nico FC;goleiro;regular;
Pipoca;Bar do Nico FC;goleiro;basico;
Cimento;Bar do Nico FC;defensor;destaque;
Baiano;Bar do Nico FC;defensor;regular;
Professor;Bar do Nico FC;meio-campista;destaque;
Titi;Bar do Nico FC;meio-campista;regular;
Alemão;Bar do Nico FC;meio-campista;basico;
Jacaré;Bar do Nico FC;atacante;regular;
Pelezinho;Bar do Nico FC;atacante;destaque;
Coruja;Juventude da Ponte;goleiro;destaque;
Baixinho;Juventude da Ponte;goleiro;basico;
Tanque;Juventude da Ponte;defensor;regular;
Cascão;Juventude da Ponte;defensor;basico;
Neném;Juventude da Ponte;meio-campista;destaque;
Índio;Juventude da Ponte;meio-campista;regular;
Tico;Juventude da Ponte;meio-campista;basico;
Canhão;Juventude da Ponte;atacante;destaque;
Vavá;Juventude da Ponte;atacante;regular;
Mão de Ferro;Real Mangueiral;goleiro;regular;
Sombra;Real Mangueiral;goleiro;basico;
Grandão;Real Mangueiral;defensor;regular;
Rocha;Real Mangueiral;defensor;destaque;
Pincel;Real Mangueiral;meio-campista;regular;
Bolinha;Real Mangueiral;meio-campista;basico;
Careca;Real Mangueiral;meio-campista;regular;
Tanque de Gol;Real Mangueiral;atacante;regular;
Zumbi;Real Mangueiral;atacante;basico;
